Ticker,Company Name,Revenue,Profit,Net Margin %,PBT,PAT,ROA,ROE,EPS
ABBEYBANK,Abbey Bank Plc,27190020000.0,4364559000.0,59.32669831167566,3721341999.9999895,4364559000.0,2.4677351384724,42.9761843572151,0.4298
ABCTRANS,ABC Transport PLC,16854111000.0,754278000.0,4.4753354240992,1334328000.0000002,754278000.0,4.87890449067001,41.1171792018303,0.3153
ACADEMY,Academy Press PLC,3619768000.0,-92275000.0,-2.54919652309209,-127362000.00000003,-92275000.0,-2.61086041538075,-5.77475784661455,-0.1534
ACCESSCORP,Access Holdings Plc,5329816000000.0,745873000000.0,22.416104114987146,1056549999999.9989,745873000000.0,1.6122998527153203,21.0663298492654,14.1694
AFRINSURE,African Alliance Insurance PLC,,,,,,,,
AFRIPRUD,Africa Prudential Plc,8407959999.999999,2960709000.0,35.2131670464655,4687057999.999996,2960709000.0,6.738463812673691,25.102788684371802,0.7402
AFROMEDIA,Afromedia PLC,,,,,,,,
AIICO,Aiico Insurance PLC,234826481000.0,19932249000.0,8.48807549945783,21815218000.000004,19932249000.0,3.5678123114885,21.5735524668882,0.5445
ARADEL,Aradel Holdings Plc,2822807852000.0,763472039000.0,27.0465465249103,1358170339999.999,763472039000.0,12.0362700807749,51.7775650346101,175.7191
AUSTINLAZ,Austin Laz & Co. Plc,10430000.0,-15447000.0,-148.10162991371,-15446999.999999953,-15447000.0,-1.09192121795835,-1.12179504636746,-0.0143
AVACAP,AVA Capital PLC,,,,,,,,
BERGER,Berger Paints Nigeria PLC,13797915000.0,1734746000.0,12.5725227326013,2698382000.000003,1734746000.0,20.071434687129,36.2286679013367,5.9855
BETAGLAS,Beta Glass Plc.,150604301000.0,30957422000.0,20.5554700592515,47578060999.99996,30957422000.0,16.7534830204192,32.6155138369987,51.5986
BUACEMENT,BUA Cement Plc,1328066310000.0,500021518000.0,37.6503427754296,634887368000.0002,500021518000.0,28.339024837948003,81.3984132003635,14.7654
BUAFOODS,BUA Foods PLC,1656779909000.0,541126341999.99994,32.6613293087682,573642762999.9993,541126341999.99994,36.021275146463,63.85583167661271,30.0626
CADBURY,Cadbury Nigeria PLC,175935228000.0,10022708000.0,5.69681701267924,14315803999.999994,10022708000.0,11.7267054897487,55.5550502261829,4.3954
CAP,Chemical & Allied Products Plc,47172594000.0,6521801000.0,13.8254025207942,9735740999.99998,6521801000.0,29.664828607155595,51.8919600613859,8.0047
CAVERTON,Caverton Offshore Support Group Plc,21272020000.0,-17867191000.0,-83.993861419837,-17964361000.00001,-17867191000.0,-18.1911782494763,,-5.3304
CHAMPION,Champion Breweries PLC,49593292000.0,1341827000.0,2.7056622899726,1471793000.0000007,1341827000.0,1.7235359466547502,4.04007774027444,0.1068
CHAMS,Chams Holding Company Plc,17404638000.0,549814000.0,3.15900853554093,881945000.0000007,549814000.0,1.9477616402895401,5.52629092597693,0.0796
CHELLARAM,Chellarams PLC,30372009000.0,1597821000.0,5.26083407916809,2008234999.999999,1597821000.0,6.95109260643036,34.2484091621543,2.2102
CILEASING,C&I Leasing PLC,72462526000.0,3422851000.0,4.72361534843541,2008231999.9999988,3422851000.0,2.46503541986276,7.26057626497238,1.1608
CMFC,DEAP Capital Management & Trust Plc,20623000.0,-109777000.0,-532.303738544344,-109777000.00000006,-109777000.0,-6.034068850618091,,-0.0731
CONHALLPLC,Consolidated Hallmark Holdings Plc,,,,,,,,
CONOIL,Conoil PLC,337970318000.0,6263926000.0,1.85339530319346,7154269999.999987,6263926000.0,4.57266639291178,14.775941105762,9.0264
CORNERST,Cornerstone Insurance PLC,70353620000.0,11600227000.0,16.4884578789265,7405622000.000004,11600227000.0,8.11529030200441,15.7398585004913,0.6437
CUSTODIAN,Custodian Investment Plc,268543359000.0,95230340000.0,35.4618115877518,87543268999.99992,95230340000.0,11.2642343905474,52.99696311177999,16.1905
CUTIX,Cutix PLC,14828534000.0,-110282000.0,-0.743714786640406,-49768000.000000045,-110282000.0,-1.36853028122365,-2.90238473901776,-0.0156
CWG,CWG Plc,73290744000.0,5844176000.0,7.97396189619797,8130347000.0,5844176000.0,11.9709183449823,63.0289672690098,2.3147
DAARCOMM,DAAR Communications PLC,6696902000.0,415409000.0,6.20300252265898,415408999.99999964,415409000.0,1.54503159993519,2.51597037251665,0.0519
DANGCEM,Dangote Cement PLC,4749038000000.0,1131063000000.0,23.816676135251,1781520000000.0007,1131063000000.0,17.0869750343892,43.2653869980409,67.5179
DANGSUGAR,Dangote Sugar Refinery PLC,790857484000.0,1715422000.0,0.216906589961536,-6080361999.999998,1715422000.0,0.175918281691929,0.965122433752587,0.2031
EKOCORP,Ekocorp PLC,,,,,,,,
ELLAHLAKES,Ellah Lakes Plc,103522949.04,,,,,,,
ENAMELWA,Nigerian Enamelware PLC,1301834000.0,-44164000.0,-3.39244481247225,-44163999.99999999,-44164000.0,-1.58053993311228,,-0.5809
ETERNA,Eterna PLC,362030320000.0,8228083000.000001,2.27276074556407,13370596000.000004,8228083000.000001,11.3301728326898,44.531816777236,4.9497
ETI,"Ecobank Transnational, Inc.",4887636880936.0205,597141796718.784,15.534719073476367,1184109725050.5671,597141796718.784,1.21988166162713,24.3236200334021,24.2778
ETRANZACT,eTranzact International Plc,32872275999.999996,2588496000.0,7.87440455902719,3697851999.999985,2588496000.0,8.03568177285078,15.3180517112424,0.2814
EUNISELL,Eunisell Interlinked Plc,1836917000.0,335153000.0,18.2454079307884,335153000.00000036,335153000.0,27.9293352061056,50.5275075832042,1.4159
FCMB,FCMB Group Plc,1293446376000.0,235725704610.0,29.43415767241952,278728686999.9999,235725704610.0,2.96557067953627,25.1861557575961,4.3643
FIDELITYBK,Fidelity Bank PLC,1607603000000.0,217568000000.0,20.703627188545862,334370000000.0008,217568000000.0,1.9954924221127597,18.7604147040855,4.0845
FIDSON,Fidson Healthcare Ltd.,130901753000.0,11004614000.0,8.40677358996102,16599416000.000006,11004614000.0,11.2028601492876,24.768335634266,4.3422
FIRSTHOLDCO,First HoldCo Plc,3695058000000.0,274305000000.0,10.344258023253227,524369999999.9994,274305000000.0,0.99646320699773,8.93780736427594,6.2619
FTGINSURE,Fortis Global Insurance Plc,2667842000.0,-3169907000.0,-118.819142962739,-3169605999.999999,-3169907000.0,-9.39630956377183,-54.9466287044236,-0.1766
FTNCOCOA,FTN Cocoa Processors Plc,7973268000.0,1521932000.0,19.0879323258669,1521932000.0000012,1521932000.0,6.9414947918105,334.623663479318,0.3902
GEREGU,Geregu Power Plc,115961006000.0,9573654000.0,8.25592527198324,19240305000.000046,9573654000.0,3.7454162716457504,21.2443833575463,3.8295
GOLDBREW,Golden Guinea Breweries Plc,,,,,,,,
GTCO,Guaranty Trust Holding Company Plc,2245248902000.0,814466864000.0,44.75494251341583,1233716293000.0002,814466864000.0,4.70093604670056,25.0441165140497,22.6678
GUINEAINS,Guinea Insurance PLC,3630777000.0,-95771999.99999991,-2.63778249118577,-71422999.99999976,-95771999.99999991,-1.06409538059809,-1.85037739993883,-0.0179
GUINNESS,Guinness Nigeria PLC,515250310027.85,36237440209.0,7.03297785634351,60104287306.99014,36237440209.0,13.7042917069846,87.7314911251355,16.5439
HBMNG,HBM Nigeria PLC,1227738302000.0,348789568000.0,28.4091135245856,529312145000.00024,348789568000.0,29.904466450183104,51.3207696508212,21.6535
HMCALL,Haldane McCall Plc,,,,,,,,
HONYFLOUR,Honeywell Flour Mills Plc,406229158000.0,20837878000.0,5.1295869805584,28345201999.999992,20837878000.0,8.49075273461455,41.2113045971897,2.6277
